xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	group
-0.1	0.1	1	log10.penalty	0	log10.penalty	0	76
0.1	0.3	0.2 0	log10.penalty	0.2	log10.penalty	0	16
0.3	0.5	0.4 0	log10.penalty	0.4	log10.penalty	0	31
0.5	0.7	0.6 0	log10.penalty	0.6	log10.penalty	0	46
0.7	0.9	0.8 0	log10.penalty	0.8	log10.penalty	0	61
0.9	1.1	1 0	log10.penalty	1	log10.penalty	0	77
1.1	1.3	1.2 0	log10.penalty	1.2	log10.penalty	0	92
1.3	1.5	1.4 0	log10.penalty	1.4	log10.penalty	0	107
1.5	1.7	1.6 0	log10.penalty	1.6	log10.penalty	0	122
1.7	1.9	1.8 0	log10.penalty	1.8	log10.penalty	0	137
1.9	2.1	2 0	log10.penalty	2	log10.penalty	0	152
2.1	2.3	2.2 0	log10.penalty	2.2	log10.penalty	0	167
2.3	2.5	2.4 0	log10.penalty	2.4	log10.penalty	0	182
2.5	2.7	2.6 0	log10.penalty	2.6	log10.penalty	0	197
2.7	2.9	2.8 0	log10.penalty	2.8	log10.penalty	0	212
2.9	3.1	3 0	log10.penalty	3	log10.penalty	0	227
-0.1	0.1	0 0.2	log10.penalty	0	log10.penalty	0.2	1
0.1	0.3	1	log10.penalty	0.2	log10.penalty	0.2	76
0.3	0.5	0.4 0.2	log10.penalty	0.4	log10.penalty	0.2	32
0.5	0.7	0.6 0.2	log10.penalty	0.6	log10.penalty	0.2	47
0.7	0.9	0.8 0.2	log10.penalty	0.8	log10.penalty	0.2	62
0.9	1.1	1 0.2	log10.penalty	1	log10.penalty	0.2	78
1.1	1.3	1.2 0.2	log10.penalty	1.2	log10.penalty	0.2	93
1.3	1.5	1.4 0.2	log10.penalty	1.4	log10.penalty	0.2	108
1.5	1.7	1.6 0.2	log10.penalty	1.6	log10.penalty	0.2	123
1.7	1.9	1.8 0.2	log10.penalty	1.8	log10.penalty	0.2	138
1.9	2.1	2 0.2	log10.penalty	2	log10.penalty	0.2	153
2.1	2.3	2.2 0.2	log10.penalty	2.2	log10.penalty	0.2	168
2.3	2.5	2.4 0.2	log10.penalty	2.4	log10.penalty	0.2	183
2.5	2.7	2.6 0.2	log10.penalty	2.6	log10.penalty	0.2	198
2.7	2.9	2.8 0.2	log10.penalty	2.8	log10.penalty	0.2	213
2.9	3.1	3 0.2	log10.penalty	3	log10.penalty	0.2	228
-0.1	0.1	0 0.4	log10.penalty	0	log10.penalty	0.4	2
0.1	0.3	0.2 0.4	log10.penalty	0.2	log10.penalty	0.4	17
0.3	0.5	1	log10.penalty	0.4	log10.penalty	0.4	76
0.5	0.7	0.6 0.4	log10.penalty	0.6	log10.penalty	0.4	48
0.7	0.9	0.8 0.4	log10.penalty	0.8	log10.penalty	0.4	63
0.9	1.1	1 0.4	log10.penalty	1	log10.penalty	0.4	79
1.1	1.3	1.2 0.4	log10.penalty	1.2	log10.penalty	0.4	94
1.3	1.5	1.4 0.4	log10.penalty	1.4	log10.penalty	0.4	109
1.5	1.7	1.6 0.4	log10.penalty	1.6	log10.penalty	0.4	124
1.7	1.9	1.8 0.4	log10.penalty	1.8	log10.penalty	0.4	139
1.9	2.1	2 0.4	log10.penalty	2	log10.penalty	0.4	154
2.1	2.3	2.2 0.4	log10.penalty	2.2	log10.penalty	0.4	169
2.3	2.5	2.4 0.4	log10.penalty	2.4	log10.penalty	0.4	184
2.5	2.7	2.6 0.4	log10.penalty	2.6	log10.penalty	0.4	199
2.7	2.9	2.8 0.4	log10.penalty	2.8	log10.penalty	0.4	214
2.9	3.1	3 0.4	log10.penalty	3	log10.penalty	0.4	229
-0.1	0.1	0 0.6	log10.penalty	0	log10.penalty	0.6	3
0.1	0.3	0.2 0.6	log10.penalty	0.2	log10.penalty	0.6	18
0.3	0.5	0.4 0.6	log10.penalty	0.4	log10.penalty	0.6	33
0.5	0.7	1	log10.penalty	0.6	log10.penalty	0.6	76
0.7	0.9	0.8 0.6	log10.penalty	0.8	log10.penalty	0.6	64
0.9	1.1	1 0.6	log10.penalty	1	log10.penalty	0.6	80
1.1	1.3	1.2 0.6	log10.penalty	1.2	log10.penalty	0.6	95
1.3	1.5	1.4 0.6	log10.penalty	1.4	log10.penalty	0.6	110
1.5	1.7	1.6 0.6	log10.penalty	1.6	log10.penalty	0.6	125
1.7	1.9	1.8 0.6	log10.penalty	1.8	log10.penalty	0.6	140
1.9	2.1	2 0.6	log10.penalty	2	log10.penalty	0.6	155
2.1	2.3	2.2 0.6	log10.penalty	2.2	log10.penalty	0.6	170
2.3	2.5	2.4 0.6	log10.penalty	2.4	log10.penalty	0.6	185
2.5	2.7	2.6 0.6	log10.penalty	2.6	log10.penalty	0.6	200
2.7	2.9	2.8 0.6	log10.penalty	2.8	log10.penalty	0.6	215
2.9	3.1	3 0.6	log10.penalty	3	log10.penalty	0.6	230
-0.1	0.1	0 0.8	log10.penalty	0	log10.penalty	0.8	4
0.1	0.3	0.2 0.8	log10.penalty	0.2	log10.penalty	0.8	19
0.3	0.5	0.4 0.8	log10.penalty	0.4	log10.penalty	0.8	34
0.5	0.7	0.6 0.8	log10.penalty	0.6	log10.penalty	0.8	49
0.7	0.9	1	log10.penalty	0.8	log10.penalty	0.8	76
0.9	1.1	1 0.8	log10.penalty	1	log10.penalty	0.8	81
1.1	1.3	1.2 0.8	log10.penalty	1.2	log10.penalty	0.8	96
1.3	1.5	1.4 0.8	log10.penalty	1.4	log10.penalty	0.8	111
1.5	1.7	1.6 0.8	log10.penalty	1.6	log10.penalty	0.8	126
1.7	1.9	1.8 0.8	log10.penalty	1.8	log10.penalty	0.8	141
1.9	2.1	2 0.8	log10.penalty	2	log10.penalty	0.8	156
2.1	2.3	2.2 0.8	log10.penalty	2.2	log10.penalty	0.8	171
2.3	2.5	2.4 0.8	log10.penalty	2.4	log10.penalty	0.8	186
2.5	2.7	2.6 0.8	log10.penalty	2.6	log10.penalty	0.8	201
2.7	2.9	2.8 0.8	log10.penalty	2.8	log10.penalty	0.8	216
2.9	3.1	3 0.8	log10.penalty	3	log10.penalty	0.8	231
-0.1	0.1	0 1	log10.penalty	0	log10.penalty	1	5
0.1	0.3	0.2 1	log10.penalty	0.2	log10.penalty	1	20
0.3	0.5	0.4 1	log10.penalty	0.4	log10.penalty	1	35
0.5	0.7	0.6 1	log10.penalty	0.6	log10.penalty	1	50
0.7	0.9	0.8 1	log10.penalty	0.8	log10.penalty	1	65
0.9	1.1	1	log10.penalty	1	log10.penalty	1	76
1.1	1.3	1.2 1	log10.penalty	1.2	log10.penalty	1	97
1.3	1.5	1.4 1	log10.penalty	1.4	log10.penalty	1	112
1.5	1.7	1.6 1	log10.penalty	1.6	log10.penalty	1	127
1.7	1.9	1.8 1	log10.penalty	1.8	log10.penalty	1	142
1.9	2.1	2 1	log10.penalty	2	log10.penalty	1	157
2.1	2.3	2.2 1	log10.penalty	2.2	log10.penalty	1	172
2.3	2.5	2.4 1	log10.penalty	2.4	log10.penalty	1	187
2.5	2.7	2.6 1	log10.penalty	2.6	log10.penalty	1	202
2.7	2.9	2.8 1	log10.penalty	2.8	log10.penalty	1	217
2.9	3.1	3 1	log10.penalty	3	log10.penalty	1	232
-0.1	0.1	0 1.2	log10.penalty	0	log10.penalty	1.2	6
0.1	0.3	0.2 1.2	log10.penalty	0.2	log10.penalty	1.2	21
0.3	0.5	0.4 1.2	log10.penalty	0.4	log10.penalty	1.2	36
0.5	0.7	0.6 1.2	log10.penalty	0.6	log10.penalty	1.2	51
0.7	0.9	0.8 1.2	log10.penalty	0.8	log10.penalty	1.2	66
0.9	1.1	1 1.2	log10.penalty	1	log10.penalty	1.2	82
1.1	1.3	1	log10.penalty	1.2	log10.penalty	1.2	76
1.3	1.5	1.4 1.2	log10.penalty	1.4	log10.penalty	1.2	113
1.5	1.7	1.6 1.2	log10.penalty	1.6	log10.penalty	1.2	128
1.7	1.9	1.8 1.2	log10.penalty	1.8	log10.penalty	1.2	143
1.9	2.1	2 1.2	log10.penalty	2	log10.penalty	1.2	158
2.1	2.3	2.2 1.2	log10.penalty	2.2	log10.penalty	1.2	173
2.3	2.5	2.4 1.2	log10.penalty	2.4	log10.penalty	1.2	188
2.5	2.7	2.6 1.2	log10.penalty	2.6	log10.penalty	1.2	203
2.7	2.9	2.8 1.2	log10.penalty	2.8	log10.penalty	1.2	218
2.9	3.1	3 1.2	log10.penalty	3	log10.penalty	1.2	233
-0.1	0.1	0 1.4	log10.penalty	0	log10.penalty	1.4	7
0.1	0.3	0.2 1.4	log10.penalty	0.2	log10.penalty	1.4	22
0.3	0.5	0.4 1.4	log10.penalty	0.4	log10.penalty	1.4	37
0.5	0.7	0.6 1.4	log10.penalty	0.6	log10.penalty	1.4	52
0.7	0.9	0.8 1.4	log10.penalty	0.8	log10.penalty	1.4	67
0.9	1.1	1 1.4	log10.penalty	1	log10.penalty	1.4	83
1.1	1.3	1.2 1.4	log10.penalty	1.2	log10.penalty	1.4	98
1.3	1.5	1	log10.penalty	1.4	log10.penalty	1.4	76
1.5	1.7	1.6 1.4	log10.penalty	1.6	log10.penalty	1.4	129
1.7	1.9	1.8 1.4	log10.penalty	1.8	log10.penalty	1.4	144
1.9	2.1	2 1.4	log10.penalty	2	log10.penalty	1.4	159
2.1	2.3	2.2 1.4	log10.penalty	2.2	log10.penalty	1.4	174
2.3	2.5	2.4 1.4	log10.penalty	2.4	log10.penalty	1.4	189
2.5	2.7	2.6 1.4	log10.penalty	2.6	log10.penalty	1.4	204
2.7	2.9	2.8 1.4	log10.penalty	2.8	log10.penalty	1.4	219
2.9	3.1	3 1.4	log10.penalty	3	log10.penalty	1.4	234
-0.1	0.1	0 1.6	log10.penalty	0	log10.penalty	1.6	8
0.1	0.3	0.2 1.6	log10.penalty	0.2	log10.penalty	1.6	23
0.3	0.5	0.4 1.6	log10.penalty	0.4	log10.penalty	1.6	38
0.5	0.7	0.6 1.6	log10.penalty	0.6	log10.penalty	1.6	53
0.7	0.9	0.8 1.6	log10.penalty	0.8	log10.penalty	1.6	68
0.9	1.1	1 1.6	log10.penalty	1	log10.penalty	1.6	84
1.1	1.3	1.2 1.6	log10.penalty	1.2	log10.penalty	1.6	99
1.3	1.5	1.4 1.6	log10.penalty	1.4	log10.penalty	1.6	114
1.5	1.7	1	log10.penalty	1.6	log10.penalty	1.6	76
1.7	1.9	1.8 1.6	log10.penalty	1.8	log10.penalty	1.6	145
1.9	2.1	2 1.6	log10.penalty	2	log10.penalty	1.6	160
2.1	2.3	2.2 1.6	log10.penalty	2.2	log10.penalty	1.6	175
2.3	2.5	2.4 1.6	log10.penalty	2.4	log10.penalty	1.6	190
2.5	2.7	2.6 1.6	log10.penalty	2.6	log10.penalty	1.6	205
2.7	2.9	2.8 1.6	log10.penalty	2.8	log10.penalty	1.6	220
2.9	3.1	3 1.6	log10.penalty	3	log10.penalty	1.6	235
-0.1	0.1	0 1.8	log10.penalty	0	log10.penalty	1.8	9
0.1	0.3	0.2 1.8	log10.penalty	0.2	log10.penalty	1.8	24
0.3	0.5	0.4 1.8	log10.penalty	0.4	log10.penalty	1.8	39
0.5	0.7	0.6 1.8	log10.penalty	0.6	log10.penalty	1.8	54
0.7	0.9	0.8 1.8	log10.penalty	0.8	log10.penalty	1.8	69
0.9	1.1	1 1.8	log10.penalty	1	log10.penalty	1.8	85
1.1	1.3	1.2 1.8	log10.penalty	1.2	log10.penalty	1.8	100
1.3	1.5	1.4 1.8	log10.penalty	1.4	log10.penalty	1.8	115
1.5	1.7	1.6 1.8	log10.penalty	1.6	log10.penalty	1.8	130
1.7	1.9	1	log10.penalty	1.8	log10.penalty	1.8	76
1.9	2.1	2 1.8	log10.penalty	2	log10.penalty	1.8	161
2.1	2.3	2.2 1.8	log10.penalty	2.2	log10.penalty	1.8	176
2.3	2.5	2.4 1.8	log10.penalty	2.4	log10.penalty	1.8	191
2.5	2.7	2.6 1.8	log10.penalty	2.6	log10.penalty	1.8	206
2.7	2.9	2.8 1.8	log10.penalty	2.8	log10.penalty	1.8	221
2.9	3.1	3 1.8	log10.penalty	3	log10.penalty	1.8	236
-0.1	0.1	0 2	log10.penalty	0	log10.penalty	2	10
0.1	0.3	0.2 2	log10.penalty	0.2	log10.penalty	2	25
0.3	0.5	0.4 2	log10.penalty	0.4	log10.penalty	2	40
0.5	0.7	0.6 2	log10.penalty	0.6	log10.penalty	2	55
0.7	0.9	0.8 2	log10.penalty	0.8	log10.penalty	2	70
0.9	1.1	1 2	log10.penalty	1	log10.penalty	2	86
1.1	1.3	1.2 2	log10.penalty	1.2	log10.penalty	2	101
1.3	1.5	1.4 2	log10.penalty	1.4	log10.penalty	2	116
1.5	1.7	1.6 2	log10.penalty	1.6	log10.penalty	2	131
1.7	1.9	1.8 2	log10.penalty	1.8	log10.penalty	2	146
1.9	2.1	1	log10.penalty	2	log10.penalty	2	76
2.1	2.3	2.2 2	log10.penalty	2.2	log10.penalty	2	177
2.3	2.5	2.4 2	log10.penalty	2.4	log10.penalty	2	192
2.5	2.7	2.6 2	log10.penalty	2.6	log10.penalty	2	207
2.7	2.9	2.8 2	log10.penalty	2.8	log10.penalty	2	222
2.9	3.1	3 2	log10.penalty	3	log10.penalty	2	237
-0.1	0.1	0 2.2	log10.penalty	0	log10.penalty	2.2	11
0.1	0.3	0.2 2.2	log10.penalty	0.2	log10.penalty	2.2	26
0.3	0.5	0.4 2.2	log10.penalty	0.4	log10.penalty	2.2	41
0.5	0.7	0.6 2.2	log10.penalty	0.6	log10.penalty	2.2	56
0.7	0.9	0.8 2.2	log10.penalty	0.8	log10.penalty	2.2	71
0.9	1.1	1 2.2	log10.penalty	1	log10.penalty	2.2	87
1.1	1.3	1.2 2.2	log10.penalty	1.2	log10.penalty	2.2	102
1.3	1.5	1.4 2.2	log10.penalty	1.4	log10.penalty	2.2	117
1.5	1.7	1.6 2.2	log10.penalty	1.6	log10.penalty	2.2	132
1.7	1.9	1.8 2.2	log10.penalty	1.8	log10.penalty	2.2	147
1.9	2.1	2 2.2	log10.penalty	2	log10.penalty	2.2	162
2.1	2.3	1	log10.penalty	2.2	log10.penalty	2.2	76
2.3	2.5	2.4 2.2	log10.penalty	2.4	log10.penalty	2.2	193
2.5	2.7	2.6 2.2	log10.penalty	2.6	log10.penalty	2.2	208
2.7	2.9	2.8 2.2	log10.penalty	2.8	log10.penalty	2.2	223
2.9	3.1	3 2.2	log10.penalty	3	log10.penalty	2.2	238
-0.1	0.1	0 2.4	log10.penalty	0	log10.penalty	2.4	12
0.1	0.3	0.2 2.4	log10.penalty	0.2	log10.penalty	2.4	27
0.3	0.5	0.4 2.4	log10.penalty	0.4	log10.penalty	2.4	42
0.5	0.7	0.6 2.4	log10.penalty	0.6	log10.penalty	2.4	57
0.7	0.9	0.8 2.4	log10.penalty	0.8	log10.penalty	2.4	72
0.9	1.1	1 2.4	log10.penalty	1	log10.penalty	2.4	88
1.1	1.3	1.2 2.4	log10.penalty	1.2	log10.penalty	2.4	103
1.3	1.5	1.4 2.4	log10.penalty	1.4	log10.penalty	2.4	118
1.5	1.7	1.6 2.4	log10.penalty	1.6	log10.penalty	2.4	133
1.7	1.9	1.8 2.4	log10.penalty	1.8	log10.penalty	2.4	148
1.9	2.1	2 2.4	log10.penalty	2	log10.penalty	2.4	163
2.1	2.3	2.2 2.4	log10.penalty	2.2	log10.penalty	2.4	178
2.3	2.5	1	log10.penalty	2.4	log10.penalty	2.4	76
2.5	2.7	2.6 2.4	log10.penalty	2.6	log10.penalty	2.4	209
2.7	2.9	2.8 2.4	log10.penalty	2.8	log10.penalty	2.4	224
2.9	3.1	3 2.4	log10.penalty	3	log10.penalty	2.4	239
-0.1	0.1	0 2.6	log10.penalty	0	log10.penalty	2.6	13
0.1	0.3	0.2 2.6	log10.penalty	0.2	log10.penalty	2.6	28
0.3	0.5	0.4 2.6	log10.penalty	0.4	log10.penalty	2.6	43
0.5	0.7	0.6 2.6	log10.penalty	0.6	log10.penalty	2.6	58
0.7	0.9	0.8 2.6	log10.penalty	0.8	log10.penalty	2.6	73
0.9	1.1	1 2.6	log10.penalty	1	log10.penalty	2.6	89
1.1	1.3	1.2 2.6	log10.penalty	1.2	log10.penalty	2.6	104
1.3	1.5	1.4 2.6	log10.penalty	1.4	log10.penalty	2.6	119
1.5	1.7	1.6 2.6	log10.penalty	1.6	log10.penalty	2.6	134
1.7	1.9	1.8 2.6	log10.penalty	1.8	log10.penalty	2.6	149
1.9	2.1	2 2.6	log10.penalty	2	log10.penalty	2.6	164
2.1	2.3	2.2 2.6	log10.penalty	2.2	log10.penalty	2.6	179
2.3	2.5	2.4 2.6	log10.penalty	2.4	log10.penalty	2.6	194
2.5	2.7	1	log10.penalty	2.6	log10.penalty	2.6	76
2.7	2.9	2.8 2.6	log10.penalty	2.8	log10.penalty	2.6	225
2.9	3.1	3 2.6	log10.penalty	3	log10.penalty	2.6	240
-0.1	0.1	0 2.8	log10.penalty	0	log10.penalty	2.8	14
0.1	0.3	0.2 2.8	log10.penalty	0.2	log10.penalty	2.8	29
0.3	0.5	0.4 2.8	log10.penalty	0.4	log10.penalty	2.8	44
0.5	0.7	0.6 2.8	log10.penalty	0.6	log10.penalty	2.8	59
0.7	0.9	0.8 2.8	log10.penalty	0.8	log10.penalty	2.8	74
0.9	1.1	1 2.8	log10.penalty	1	log10.penalty	2.8	90
1.1	1.3	1.2 2.8	log10.penalty	1.2	log10.penalty	2.8	105
1.3	1.5	1.4 2.8	log10.penalty	1.4	log10.penalty	2.8	120
1.5	1.7	1.6 2.8	log10.penalty	1.6	log10.penalty	2.8	135
1.7	1.9	1.8 2.8	log10.penalty	1.8	log10.penalty	2.8	150
1.9	2.1	2 2.8	log10.penalty	2	log10.penalty	2.8	165
2.1	2.3	2.2 2.8	log10.penalty	2.2	log10.penalty	2.8	180
2.3	2.5	2.4 2.8	log10.penalty	2.4	log10.penalty	2.8	195
2.5	2.7	2.6 2.8	log10.penalty	2.6	log10.penalty	2.8	210
2.7	2.9	1	log10.penalty	2.8	log10.penalty	2.8	76
2.9	3.1	3 2.8	log10.penalty	3	log10.penalty	2.8	241
-0.1	0.1	0 3	log10.penalty	0	log10.penalty	3	15
0.1	0.3	0.2 3	log10.penalty	0.2	log10.penalty	3	30
0.3	0.5	0.4 3	log10.penalty	0.4	log10.penalty	3	45
0.5	0.7	0.6 3	log10.penalty	0.6	log10.penalty	3	60
0.7	0.9	0.8 3	log10.penalty	0.8	log10.penalty	3	75
0.9	1.1	1 3	log10.penalty	1	log10.penalty	3	91
1.1	1.3	1.2 3	log10.penalty	1.2	log10.penalty	3	106
1.3	1.5	1.4 3	log10.penalty	1.4	log10.penalty	3	121
1.5	1.7	1.6 3	log10.penalty	1.6	log10.penalty	3	136
1.7	1.9	1.8 3	log10.penalty	1.8	log10.penalty	3	151
1.9	2.1	2 3	log10.penalty	2	log10.penalty	3	166
2.1	2.3	2.2 3	log10.penalty	2.2	log10.penalty	3	181
2.3	2.5	2.4 3	log10.penalty	2.4	log10.penalty	3	196
2.5	2.7	2.6 3	log10.penalty	2.6	log10.penalty	3	211
2.7	2.9	2.8 3	log10.penalty	2.8	log10.penalty	3	226
2.9	3.1	1	log10.penalty	3	log10.penalty	3	76
